Regiões de Saúde,Código da R.S.,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,Renda média per capita (em R$),Razão de dependência,Índice de Desenvolvimento Humano,Taxa de desemprego,Densidade demográfica,População total,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,População masculina total,População feminina total,Percentual da população analfabeta de 15 anos ou mais,Percentual da população residente com renda domiciliar mensal per capita de até meio salário mínimo,Razão entre a renda dos 10% mais ricos e a dos 40% mais pobres,Recursos próprios por habitante (em R$),Gasto público em saúde como proporção do PIB,Percentual dos recursos próprios destinados à saúde,Recursos próprios destinados à saúde por habitante (em R$),Total das transferências SUS por habitante (em R$),Gasto público total em saúde por habitante (em R$),Equipamentos de ultrassonografia por 100 mil habitantes,Equipamentos de ultrassonografia diponíveis ao SUS por 100 mil habitantes,Enfermeiros por 100 mil habitantes,Enfermeiros disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários por 100 mil habitantes,Médicos Ginecologistas e Obstetras ou Mastologistas e Cirurgiões de Mama por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas por 100 mil habitantes",Médicos disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários disponíveis ao SUS por 100 mil habitantes,Médicos Ginecologistas Obstetras ou Mastologistas e Cirurgiões de Mama disponíveis ao SUS por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas disponíveis ao SUS por 100 mil habitantes",Leitos de UTI Neonatal por 1000 nascidos vivos,Leitos de UTI Neonatal disponíveis ao SUS por 1000 nascidos vivos,Percentual de partos hospitalares,Percentual de crianças menores de 1 ano vacinadas com tetravalente/pentavalente,Percentual da população coberta pela Estratégia Saúde da Família (ESF),Distância média percorrida (em km) para realização de parto hospitalar fora da Região de Saúde de residência,Percentual de partos hospitalares realizados fora da Região de Saúde de residência,Razão entre o número de exames citopatológicos em mulheres de 25 a 64 anos e um terço da população de mulheres na mesma faixa etária,Percentual da população coberta por planos e seguros de assistência suplementar à saúde,Cobertura populacional estimada pelas equipes de Atenção Básica,Taxa de histerectomias padronizada por idade por 100 mil mulheres de 20 anos ou mais,Percentual de nascidos vivos de mães que fizeram mais de 6 consultas pré-natal,Número de casos novos de sífilis congênita em menores de 1 ano,Taxa de mortalidade neonatal precoce (0 a 6 dias) por 1000 nascidos vivos,Taxa de mortalidade neonatal tardia (7 a 27 dias) por 1000 nascidos vivos,Taxa de mortalidade pós-neonatal (28 a 364 dias) por 1000 nascidos vivos,Número de óbitos maternos devidos a causas diretas por 100.000 nascidos vivos,Taxa de mortalidade infantil (menores de 1 ano) por 1000 nascidos vivos
Ouro Preto,31047,89.8,79.5,93.3,675.59,41.97,0.739,8.3,58.6,174609,89.8,79.5,93.3,86502,88107,4.7,24.7,12.5,1744.3,0.9,22.6,394.2,95.4,494.2,8.6,6.3,48.7,46.4,11.45,2.29,6.3,90.49,11.45,0.57,2.29,0,0,99.8,107,63.2,60.1,10.9,0.6,37.7,68.8,109.3,65.7,1,7.8,2.2,2.2,0,12.2
Padre Paraíso,31048,43.1,43.9,45.3,238.55,63.66,0.567,8.2,22.8,61336,43.1,43.9,45.3,31130,30206,23.8,67.9,16.3,654.2,6.4,20.1,131.8,141.3,278.7,6.5,6.5,58.7,58.7,11.41,3.26,0,37.5,11.41,3.26,0,0,0,98.4,98.8,97.4,67.3,32.9,0.68,1.7,97.4,79.2,39.6,1,10.6,1.1,4.3,106.3,15.9
Pará de Minas,31049,87.6,90.5,94.9,628.63,41.24,0.716,3.7,79.8,213811,87.6,90.5,94.9,109019,104792,4.7,17.9,7.7,775.5,1.8,25.3,196.1,68.5,268.1,6.5,1.9,39.8,39.3,9.35,3.27,4.68,40.69,9.35,3.27,4.68,0,0,99.9,101.5,53.5,64.5,15.6,0.77,19.3,64.7,76,71.4,2,9.2,0.7,3.2,70.4,13
Passos Piumhi,31050,85.2,88.6,92.2,687.36,43.21,0.734,4.2,24.7,281151,85.2,88.6,92.2,143364,137787,6.7,20.9,11.1,1037.6,2.1,24.9,258.4,105.3,381.9,15.6,7.8,71.8,68.6,9.6,2.49,4.62,80.38,9.6,1.78,3.91,5.1,3.2,99.6,113,72.2,69.4,4.2,0.54,12.4,72.1,116.9,79.4,0,4.5,2.2,4.2,32.1,10.9
Patos de Minas,31051,83.2,82.8,85.9,706.21,42.56,0.735,4.9,13.9,341624,83.2,82.8,85.9,173073,168551,7,22.4,12.4,927.2,2.7,22.2,206,196.6,419.4,10,5.3,64.4,62.9,9.37,6.73,7.32,67.62,9.37,4.1,5.27,5.3,5.3,99.7,108,77.6,64.2,4.9,0.67,12.2,95,140.3,72.4,1,8.3,2.3,3.5,25.3,14.1
Patrocínio Monte Carmelo,31052,81.5,83.5,86.3,671.36,42.82,0.721,4.7,17.9,188241,81.5,83.5,86.3,96732,91509,7,22.8,12.1,959.2,2.1,20.9,200.9,154.4,380.4,19.1,8,60,58.4,10.62,4.78,2.66,63.22,10.62,4.25,2.66,0.4,0,99.6,104.5,65.7,109.8,5.8,0.81,13.5,73.4,278.2,76.5,1,8,2.9,2.1,41.9,13
Pedra Azul,31053,71.3,46.9,77.2,293.4,56.91,0.61,9.8,14.4,52814,71.3,46.9,77.2,26599,26215,23,62.9,14.6,752.7,3.3,18.5,138.9,141.6,296.8,11.4,5.7,54.9,54.9,11.36,1.89,0,39.76,11.36,0,0,0,0,98.7,124.3,100.1,160.1,6.1,0.79,4.9,103.3,123.1,56.4,2,13,1.6,4.9,0,19.5
Pirapora,31054,83.5,12.1,84.4,427.87,48.71,0.678,10.5,8.1,142150,83.5,12.1,84.4,71959,70191,10.9,45.8,12.6,873.4,2.3,18.9,165,161.8,346.2,9.1,4.9,52.1,51.4,10.55,2.11,2.11,46.43,10.55,1.41,2.11,0,0,98.8,117.3,89.9,160.7,3.7,0.71,8.7,97.5,322.1,67.5,3,13.8,3.6,3.1,50.9,20.4
Poços de Caldas,31055,88.4,90.8,94.5,840.08,41.09,0.762,5,96.5,221664,88.4,90.8,94.5,109807,111857,4.8,15.4,11.6,1014.3,2.6,27.8,281.5,219.8,526.8,22.1,5.4,55.5,49.2,12.63,8.12,9.02,76.69,12.63,5.41,6.32,3.3,2.2,99.2,98.9,47.8,86.3,2,0.62,45.1,41.3,81.5,70.8,6,4.8,1.1,1.8,110.9,7.8
Ponte Nova,31056,71.4,68.9,72.7,463.16,48.61,0.664,7.5,37.2,218074,71.4,68.9,72.7,108041,110033,12,40.8,11.8,933.1,4.7,20,186.8,219.9,415.4,11.5,6.9,62.4,62.4,7.34,0.46,1.83,52.28,7.34,0.46,1.83,0,0,99.6,106.8,91.1,59.5,8.8,0.58,10.9,98.1,130.3,70.5,0,6.3,2.1,5.9,0,14.3
Pouso Alegre,31057,76.3,78.3,91.8,661.14,42.26,0.727,3.9,63.6,509544,76.3,78.3,91.8,260346,249198,7.5,22.2,10.2,1003.2,1.7,21.8,218.7,78.8,302,12,2.4,56.5,55.5,13.54,6.08,8.83,85.37,13.54,2.94,7.85,1.9,0.9,98.6,106,61,46.8,7.1,0.68,20.4,63.9,115.1,78.7,0,5.9,3.3,3.1,17.4,12.3
Resplendor,31058,73.6,71.5,71,441.37,51.14,0.66,6.6,16.5,90407,73.6,71.5,71,44797,45610,15.2,45.6,13.5,945.3,3.3,21.3,201.2,94.6,290,3.3,3.3,63,63,16.59,3.32,4.42,60.84,16.59,3.32,3.32,0,0,99.4,110.1,79.3,51.1,17.6,0.77,8.3,96.9,264.9,54.7,1,6.4,1.8,6.4,0,14.5
Salinas Taiobeiras,31059,63.2,25.6,56.6,349.11,53.72,0.631,6.3,12,203430,63.2,25.6,56.6,103068,100362,23,57.4,16.6,755.8,5.9,17.9,135.6,171.4,337.2,9.8,6.4,57.5,56.5,13.76,0,0.98,31.95,13.76,0,0.98,0,0,98.9,101.6,97.9,108.6,6.2,0.78,2.1,97.3,137,68.9,0,8.8,1.4,3.2,70.5,13.4
Santa Maria do Suaçuí São João Evangelista,31060,51.2,44.8,44.3,330.58,59.53,0.612,6.2,19.8,104789,51.2,44.8,44.3,52767,52022,20.1,56.8,14.1,873,5,20.8,181.5,93.3,288.8,3.8,3.8,46.8,46.8,7.63,0.95,0.95,21.95,7.63,0.95,0.95,0,0,98.4,115.6,66.4,63.3,10.9,0.49,2.7,102.8,94.7,55,0,6.1,1.5,1.5,0,9.1
Santo Antônio do Amparo Campo Belo,31061,85,85.1,87.8,562.45,44.71,0.693,4.3,36,199622,85,85.1,87.8,100489,99133,8.5,27.9,10.5,798.7,3.5,23.9,190.8,158.1,342.3,17,8,51.1,50.6,11.02,1,2,48.59,11.02,1,2,0,0,100,98.3,92.9,87.9,10.6,0.7,11.4,99,164.8,65.1,1,5.9,1.8,2.7,0,10.4
Santos Dumont,31062,85.1,68.3,91.9,530.25,42.92,0.734,10.7,60.7,51848,85.1,68.3,91.9,25607,26241,7.7,35.4,12.4,846.1,2.5,21,178,80.6,259,3.9,1.9,42.4,42.4,9.64,1.93,1.93,71.36,9.64,1.93,1.93,0,0,100,101.2,54.1,47.6,13.5,0.29,20.7,54.1,123,62.7,0,15.2,1.7,3.4,0,20.2
São João del Rei,31063,86.9,78,89.3,590.61,42.8,0.721,5.4,33.8,233407,86.9,78,89.3,116006,117401,5.9,31.5,12.6,815.3,3.1,20,162.9,167.5,339.6,13.7,7.7,45.8,45.8,5.57,2.57,4.28,54.84,5.57,2.57,3.43,2.6,2.6,100,100.3,67.8,49.5,11.6,0.66,15.7,72.2,222.8,57.4,0,8.1,1.1,6.3,73.9,15.5
São João Nepomuceno Bicas,31064,89,86.7,93.3,573.85,45.97,0.703,3.8,45.4,71111,89,86.7,93.3,35081,36030,7.1,25.1,9.5,1085.4,3.8,19.9,216.1,87.8,310,15.5,7,39.4,39.4,15.47,4.22,7.03,77.34,15.47,4.22,7.03,0,0,99.9,112.1,82.4,34.5,29.7,0.71,13.3,84.8,183.4,82.9,0,10.7,1.2,5.9,0,17.8
São Lourenço,31065,81.4,79.3,88,590.34,45.53,0.709,5.9,40.6,257317,81.4,79.3,88,128849,128468,7.7,32.6,13.7,969.7,3.2,22.3,216.2,104.6,332.5,16.3,9.7,59.5,59.5,13.99,2.33,2.33,83.17,13.99,1.94,2.33,2.7,2.7,99.9,101.3,83.1,91.6,2,0.78,20,87.2,227,79.9,0,4.4,1.3,1.7,33.5,7.4
São Sebastião do Paraíso,31066,85.8,88.9,89.8,652.91,45.62,0.713,3.7,48.3,123256,85.8,88.9,89.8,62300,60956,8.5,20.7,9.7,857.2,2.8,22.6,193.7,181.4,412.1,13.8,8.9,75.5,73.8,13.79,0.81,2.43,97.36,13.79,0,2.43,6.5,4.6,99.9,102.9,91.8,46.2,5.6,0.76,19.9,96.3,132.5,82.2,0,9.8,1.3,5.2,65.4,16.3
Sete Lagoas,31067,88.2,74.6,89.6,654.76,42.8,0.727,7.4,28.3,421848,88.2,74.6,89.6,210499,211349,6.1,27.8,13.4,950.4,2,24,228.2,177,383.8,9.5,3.3,44.6,44.1,12.56,4.98,4.98,66.37,12.56,4.74,4.74,1.6,1.6,99.7,98.7,61.8,66.6,11,0.55,23.3,67.4,101.5,54,2,7.2,2.1,3.9,39,13.3
Teófilo Otoni Malacacheta Itambacuri,31068,64.3,57.8,61.3,411.73,55.97,0.645,8.1,21.9,325085,64.3,57.8,61.3,160248,164837,19.9,52.7,17.2,645.1,5.2,20,128.7,208,363.7,8.9,7.1,69.5,69.2,7.38,3.38,3.08,48.6,7.38,3.38,3.08,1.8,1.8,98.1,103,71.4,60.1,5.9,0.73,8.7,91.2,88.9,46.3,2,9.8,3.6,6.5,67.1,19.9
Três Corações,31069,85.9,87.2,89,644.37,45.99,0.721,7.5,53.8,127265,85.9,87.2,89,64366,62899,8,29.4,14.8,873.3,1.5,21.8,190.3,69.2,260.2,12.6,9.4,55.8,55.8,6.29,3.93,3.14,76.22,6.29,2.36,3.14,3.7,2.5,99.8,100.7,54.8,82.6,3.7,0.6,19.4,57.1,170,77.8,0,12.4,1.9,1.9,0,16.1
Três Pontas,31070,82.7,84.8,85.7,587.7,46.17,0.713,5.2,51.7,123685,82.7,84.8,85.7,62337,61348,7.8,28.9,11.7,714.5,2.7,26.6,190.4,129.2,341.7,19.4,4.9,54.2,52.6,1.62,5.66,3.23,71.96,1.62,4.04,3.23,0,0,99.9,98,50.8,57.1,8.5,0.75,14.3,57.6,370.9,79.3,0,9.5,2.5,1.3,0,13.4
Ubá,31071,79.1,75.9,83.5,572.9,44.57,0.694,3.9,68.8,299774,79.1,75.9,83.5,151003,148771,8.5,28.8,11.2,791,2.3,20.3,160.8,78.2,248.5,8.7,5.3,51,51,6.67,0.33,1.33,58.04,6.67,0.33,0.67,1.8,1.8,100,108.9,74.5,38.1,5.9,0.6,28.7,80.6,228,76.2,1,7.9,2.6,3.5,29.4,14.1
Uberaba,31072,92.3,94.9,96,868.4,40.25,0.76,5.3,30.6,380065,92.3,94.9,96,190129,189936,4.7,16,12.2,1047.2,1.6,20.3,213,205,398.8,19.7,7.6,89.7,88.9,12.37,9.21,13.94,138.66,12.37,6.84,12.89,3.5,2.7,99.5,103.7,62.5,172.9,0.8,0.57,25.3,60.5,89.5,68,5,4.5,1.8,3.3,20.6,9.7
Uberlândia Araguari,31073,94.8,94.2,96.2,883.83,39.44,0.777,5.1,44.5,833677,94.8,94.2,96.2,414808,418869,4.4,15.8,12.3,1010.6,1.5,25.6,258.8,162.8,422,18.1,5.4,52.3,47.9,6.12,15.35,16.67,106.88,6.12,8.52,11.52,4.3,2.9,99.7,98,30.1,196.3,0.7,0.66,29.6,31,118.2,83,3,5.6,2.6,3,45.7,11.2
Unaí,31074,75.9,59.6,78.1,540.46,47.93,0.713,6.7,6.4,259251,75.9,59.6,78.1,133134,126117,10,37.2,14.6,996,2.4,23.7,235.9,112.4,362.1,9.6,3.9,42.8,40.5,7.33,1.54,4.63,52.84,7.33,0.77,3.47,0.9,0,98.3,119.1,55.7,144.9,14.2,0.66,12.1,66.4,90.4,69,2,6,1.2,4.2,59.5,11.3
Varginha,31075,89.2,93.6,93.7,768.1,41.52,0.754,6,104.5,188844,89.2,93.6,93.7,93824,95020,5.9,21,12.8,921.8,1.7,22.8,210.5,166.3,428.3,12.2,3.7,61.4,55.6,2.65,2.12,4.24,107.5,2.65,2.12,3.71,4.2,3.3,100,102.2,40.3,127.6,1.6,0.49,34.7,45.5,202.6,76.8,4,2.9,1.2,2.9,0,7.1
Vespasiano,31076,94.3,73,96.2,652.38,42.93,0.73,7.7,178,287164,94.3,73,96.2,142375,144789,5.5,25.2,11.4,892.2,1.5,23,205.2,92.5,291.9,13.2,5.6,32,31.7,13.23,3.48,6.62,58.85,13.23,2.09,5.92,0.3,0,99.6,95.5,63.3,18.7,54.8,0.6,23.2,57.1,187,64.3,2,5.7,2.3,5.1,0,13.1
Viçosa,31077,74.3,72.5,79.7,646.48,42.16,0.717,5.3,70.5,133785,74.3,72.5,79.7,66793,66992,9,34.8,15.9,775.4,4.5,20.5,159.3,191.7,360.2,18.7,9,53.8,52.3,14.2,0.75,5.23,73.25,14.2,0,3.74,7.9,7,99.9,125.9,80.2,48.1,4.2,0.7,21.9,77.6,248.5,66.5,0,14.1,5.3,4.4,0,23.8
Central,32001,75.7,68,80.3,619.31,44.3,0.72,6.6,46.2,600932,75.7,68,80.3,303772,297160,9.7,29.2,13.6,1103.9,2.5,22.1,243.6,152,410.2,16,7,50.6,47.3,10.82,5.66,10.15,70.22,10.82,3.16,6.82,3.6,1.9,99.6,102.9,60.5,57,6.2,0.67,20.8,88.9,163.3,71.4,23,5.3,3.2,2.6,97.1,11.1
Metropolitana,32002,88.7,80,93.3,898.04,41.52,0.763,7.2,217.6,2035764,88.7,80,93.3,1007925,1027839,5.4,23,15.9,1137.1,1,17,193.3,82.5,281.2,12.1,3.2,59.1,54.2,7.12,13.75,19.5,95.84,7.12,7.96,14.2,6.1,2.4,94.9,96.8,35.6,60.2,2.1,0.56,39.6,46.4,130.1,67.7,105,5.4,2.4,3.4,74.4,11.3
Norte,32003,73.1,57.3,75.4,508.09,47.87,0.697,7.8,29.8,404819,73.1,57.3,75.4,205175,199644,13.4,38.1,14.4,926.5,2.6,19.2,177.6,112.7,308,10.6,4.9,40,40,5.43,3.21,4.94,40.26,5.43,2.22,4.69,0,0,98.3,107.5,48.6,111.9,6,0.56,11.8,92.9,164.8,56.6,13,8.8,1.7,4,52,14.6
Sul,32004,74.8,65,83.5,566.47,44.99,0.71,6.1,64.9,655727,74.8,65,83.5,330688,325039,9.2,32,12.8,1062.4,1.7,20.4,216.4,109.8,339,13.4,6.1,66.3,65,9.61,4.58,6.71,76.71,9.46,3.51,5.34,2.5,1.3,99.8,111.3,70.9,42.2,7.5,0.67,15,84.9,137.2,52.7,14,6.8,2.4,3.9,0,13.1
Baia da Ilha Grande,33001,79,79.4,97.7,750.02,42.84,0.723,7.5,117.7,244780,79,79.4,97.7,124048,120732,5.4,25.4,13.2,2451.1,1.9,26.2,642.9,172.3,898.1,7.8,3.7,82.5,81.7,20.02,16.34,25.33,165.86,20.02,14.71,24.51,2.8,1.1,99.1,97.1,72.2,88.5,7.1,0.72,21.5,71.7,162.8,80.1,2,4.5,1.4,4.5,84.5,10.4
Baixada Litorânea,33002,71.7,76.7,96.5,764.77,44.75,0.733,9.5,253.4,683066,71.7,76.7,96.5,340216,342850,5.3,27.4,14.7,1047.7,1.8,27.4,287.2,121.4,516.3,13.3,5.7,40.8,40.1,9.08,10.98,11.27,101.31,9.08,9.08,9.52,1.1,0.3,98.5,99.4,49,65.2,9.6,0.64,15.9,46.5,81.3,56.5,8,7.8,1.6,2.6,103.4,11.9
Centro-Sul,33003,74.5,74,94.4,621.59,43.65,0.714,8.7,99.7,321031,74.5,74,94.4,158325,162706,6.7,31.1,13,1042.3,3.3,19,198.5,317.1,502,20.2,11.5,81.3,80.4,16.51,6.23,11.53,115.57,16.51,4.98,9.97,1.4,1.4,98.6,101.2,92.2,38.8,9.5,0.47,14.7,91.5,194.7,66.9,3,9.4,1.9,2.4,120.3,13.7
Médio Paraíba,33004,90.1,86.8,98,764.27,41.6,0.746,8.4,138.9,859689,90.1,86.8,98,420756,438933,4.5,23.6,12.8,1363.5,1.4,21,286.8,206.8,482.5,19.3,9.8,65.8,60.4,12.68,13.61,16.98,129.23,12.68,9.54,13.03,9.5,1.8,99.8,95.9,63.9,48.1,2.8,0.58,32.2,68.4,124.8,82.5,16,6.3,2.6,5.2,82.1,14
Metropolitana I,33005,88.1,90.5,97.5,1092.22,43.27,0.772,8.2,2885.2,9925528,88.1,90.5,97.5,4768014,5157514,3.4,25,21.4,1037.8,1.4,17.9,185.9,155.3,341.3,16.3,3.5,82.7,70.9,3.93,18.17,25.08,112.04,3.86,11.74,20.69,6.2,1.3,98.3,92.9,17,39.7,3.1,0.28,40.2,25.1,89.5,59,1269,6.9,2.1,4.9,76.9,13.9
Metropolitana II,33006,70.3,80.1,94.6,958.77,40.84,0.765,8.9,719.2,1950594,70.3,80.1,94.6,943055,1007539,3.9,23.3,14.4,667.7,2.1,19,127.1,162.3,290.3,15.1,4.3,61.9,53.4,13.53,13.38,16.82,97.51,13.53,8.36,11.48,4.9,0.3,99.7,89.4,64.6,25.7,5.9,0.24,32,51.9,114.9,74.4,113,7.4,2.3,4.1,60.2,13.8
Noroeste,33007,82,79.2,87.6,603.49,45.27,0.712,7.6,56.4,331827,82,79.2,87.6,164976,166851,9.7,32.3,12.5,1078.6,4.8,22.1,238.8,325,571.2,21.4,14.8,53.6,53.6,10.25,4.82,7.84,92.22,9.64,3.31,6.33,1.9,1.5,98.4,113.7,75.6,78.4,3.7,0.41,13,79.6,380.2,61.4,1,4.6,2.4,5.1,48.6,12.2
Norte,33008,69.8,62.4,94.5,716.55,44,0.724,9.1,91.3,841314,69.8,62.4,94.5,416729,424585,7.1,33.4,16.4,1671.3,1.7,22.6,377.7,165.2,914.6,20.8,5.6,80.6,71.7,4.52,15.69,25.79,132.89,4.52,13.55,23.06,7.3,0.8,99.8,103.9,18.7,90.7,2,0.4,27.5,26.4,130.9,78.1,11,8.1,2.6,4.7,96.6,15.4
Serrana,33009,64.4,73.3,95.8,776.4,43.96,0.726,6.2,111,916173,64.4,73.3,95.8,449679,466494,6.3,25.2,14.6,1006.6,2.5,24.8,249.2,218.8,469.8,15.2,7.2,45.8,45.1,11.13,14.63,16.37,134.36,11.13,12.12,13.75,1,0,99.1,103.6,43.5,51.6,3.9,0.33,23.3,49.2,129.6,69,32,8.7,2.6,4.2,110.3,15.5
Alto do Tietê,35011,92.2,86.7,99,700.99,43.3,0.759,9.9,966.1,2742788,92.2,86.7,99,1357352,1385436,4.3,25.4,12.7,1058.6,1.5,22.3,235.6,96.2,336.8,7.2,2.1,60.9,55.5,2.44,12.18,17.06,78.75,2.44,7.62,14.29,2.5,1.4,99.6,99,12.7,24.1,16,0.86,35.9,19.5,82.8,70.4,91,5.6,2.8,4,62,12.5
Franco da Rocha,35012,88.5,71.5,98.1,607.59,42.6,0.742,8.6,731.4,533037,88.5,71.5,98.1,270161,262876,5.2,26.6,10.3,965.5,1.4,19.6,189.1,92.4,297.7,7.3,3.9,44.8,43.5,3,9.57,7.69,75.23,3,6.94,6.57,2.6,1.9,99.7,98.6,23.9,24.5,29.7,0.55,28.9,33.2,79.6,71.9,4,6,2,4.5,71.1,12.6
Mananciais,35013,90.2,76.7,98.9,708.52,42.46,0.757,8.6,694.8,1016289,90.2,76.7,98.9,503124,513165,4.7,23.8,12.3,1032.3,1.5,21.6,222.8,71.6,297.1,6.3,3,46.3,44.3,3.84,12.5,13.28,81.67,3.84,10.23,12,1.5,1.2,99.5,99.1,18,23.5,28.2,0.59,28.3,25.7,93,69.8,29,5.7,2,3.1,11.2,10.8
Rota dos Bandeirantes,35014,94.4,87.7,99.4,849.88,41.17,0.771,8.5,3117.6,1761499,94.4,87.7,99.4,865450,896049,4.2,22.9,15.5,1637.3,1.1,23.5,384.1,81.9,474.5,9.5,3.2,69.5,61,0.17,17.09,29.52,118.31,0.17,12.38,25.43,2.4,1.1,99.4,91.8,0.8,22.3,20.4,0.61,43.3,14.3,76.1,70,36,4.8,2,4.4,26.6,11.3
Grande ABC,35015,96,93.6,99.8,1026.94,38.99,0.799,8.8,3183.6,2627042,96,93.6,99.8,1283482,1343560,3.1,16.6,13.4,1531.3,1.6,24.5,375.1,139,515.7,14,3.1,63,51,6.55,18.77,21.01,89.42,6.51,9.02,13.25,4.6,1.9,99.7,95.8,27.1,19.4,13.4,0.33,53.6,35.9,59.6,79,56,5.9,3.3,4.1,33.5,13.4
São Paulo,35016,96.5,92.6,99.8,1365.43,40.64,0.805,7.2,7608.4,11587463,96.5,92.6,99.8,5557894,6029569,3.1,19.3,25.3,1804.8,1.1,18.3,330.7,108.1,434.2,14.4,3.7,99.7,77.4,6.96,19.39,20.87,109.02,6.95,8.54,13.81,5,2,99.4,89.8,29.3,35.4,3.9,0.47,53.2,32.3,75.7,77.1,547,5.3,2.4,3.8,52.8,11.5
Central do DRS II,35021,93.6,95.9,96.7,859.89,40.32,0.776,5.8,48.3,286610,93.6,95.9,96.7,142461,144149,5,15.3,12.4,1226.3,2,22.5,275.9,104.9,384.1,17.1,7.7,67.3,64.9,6.28,6.63,2.79,69.43,6.28,4.54,2.44,2.9,2.9,99.8,104.5,55.6,59.5,6.7,0.53,22.5,55.6,227.6,85.4,6,6.4,1.5,2.9,29,10.7
Lagos do DRS II,35022,88.8,87.7,89.8,728.94,40.95,0.765,6.6,26.4,196142,88.8,87.7,89.8,101330,94812,6.6,18.3,11.3,1552.5,1.6,21.3,330.4,77.1,415,20.4,11.7,81.1,80,2.04,2.04,4.08,63.73,2.04,2.04,3.57,0,0,99.9,100.5,45.2,111,6.2,0.66,16.7,83.8,191.9,79.9,2,4.2,0.4,6.4,0,11
Consórcios do DRS II,35023,93.4,94.7,95.6,722.54,41.45,0.759,4.9,59.3,257916,93.4,94.7,95.6,129584,128332,5.9,14.2,8.7,1188.8,2.8,25.4,301.7,126.2,429.5,12.8,5,70.6,60.5,5.04,1.16,4.65,41.1,5.04,0.78,4.65,0,0,99.7,98.9,66,40.7,16,0.74,17.8,61,145,82.2,6,8.4,2,4.3,33.5,14.7
Central do DRS III,35031,95.3,97.8,98.5,905.87,39.97,0.795,7.5,104.2,294178,95.3,97.8,98.5,145253,148925,4.3,14,11.3,1177.2,2.2,27.3,321,153,501.9,10.9,3.7,76.1,58.5,4.08,7.82,6.8,78.18,4.08,5.44,4.42,4.1,1.6,99.8,95.8,23.5,63.9,2,0.52,46.6,26,118.2,85.9,13,6,2.7,2.4,27.2,11.1
Centro Oeste do DRS III,35032,91,94.3,94.1,714.31,41.56,0.741,3.6,49,135634,91,94.3,94.1,68265,67369,6.6,14.8,8.8,1050.4,2.2,24.4,256.8,101.3,356.5,15.5,6.6,43.5,43.5,4.42,2.21,3.69,65.62,4.42,1.47,3.69,0,0,99.8,102.7,28,68.1,8.3,0.47,18.4,27.6,219,79.4,0,6.7,1.8,7.4,0,15.9
Norte do DRS III,35033,95,96.6,97.5,793.78,40.92,0.761,6.5,102.5,151310,95,96.6,97.5,75921,75389,6.4,16.5,11.8,1115.8,0.7,22.7,253.3,74,327.6,11.9,4,50.2,48.2,2.64,0.66,3.3,47.58,2.64,0.66,2.64,2.7,0,99.9,103.4,10.9,42.6,10.1,0.42,35.8,14,126.6,74.5,2,8.2,2.7,3.3,109.4,14.2
Coração do DRS III,35034,95.9,97.8,98.1,899.62,40.82,0.781,6.9,117.9,366445,95.9,97.8,98.1,183286,183159,4.3,13.4,11.1,1189.6,2.2,23.2,275.9,237.3,462.8,15.3,4.4,51.3,46.7,5.18,6,3.82,70.41,5.18,5.46,3,1.5,1.1,99.8,96.5,30.5,60.6,3.2,0.46,35.6,33,132.3,88.7,7,4.5,0.9,2.8,64.7,8.2
Baixada Santista,35041,94.9,87.3,99.3,934.48,45.16,0.779,9.5,707.3,1713521,94.9,87.3,99.3,830255,883266,3.9,20,13.9,1707.6,1.9,21.1,360.4,161.5,530.5,15.4,4.7,60,51.6,6.48,11.91,18.44,92.62,6.48,8.75,13.83,3.3,1.3,99.6,102,26.8,82,1.4,0.39,39.7,32.6,91.8,76.4,39,6.8,3.4,4.9,98.5,15.1
Norte - Barretos,35051,91.2,96.6,95.5,779.58,42.04,0.767,6,43.7,276517,91.2,96.6,95.5,138050,138467,5.4,15.6,10.6,1272,2.4,21.8,277.7,167,452.5,18.4,13,100.2,99.8,5.79,3.98,9.4,101.26,5.79,3.25,9.04,2.4,2.4,99.9,104.5,34.6,67.9,5.7,0.55,26.4,42.9,277,85.2,7,4.2,1.5,3.3,0,8.9
Sul - Barretos,35052,94.2,95.6,95.4,774.37,42.99,0.764,6.6,81.7,144897,94.2,95.6,95.4,72493,72404,5.8,15.2,10.8,1160.7,1.4,22,255.1,127,390.6,10.4,4.1,71.8,60.7,4.83,3.45,6.21,49.69,4.83,1.38,3.45,0,0,100,103.9,50.2,42.1,11.1,0.71,36.2,50.9,129.4,80.7,0,4.3,0.6,2.4,61.1,7.3
Vale do Jurumirim,35061,85.6,88.2,91.9,659.06,45.17,0.736,4.9,35.2,285615,85.6,88.2,91.9,145280,140335,6.8,21.6,10.5,1170.6,2.7,24.1,282.1,113,415.3,12.3,7.7,49,49,3.15,0.7,2.45,43.06,3.15,0.7,2.45,0,0,99.9,102.4,37.2,79.5,7.6,0.75,9.2,46.3,121.2,76,1,7.3,1,5.7,26,14
